"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu May 15 01:00:03 GMT 2025","Thu May 15 01:00:05 GMT 2025","1873","","api.ApiTests","","api.ApiTests","simpleTest","simpleTest()",""
"passed","Thu May 15 01:00:06 GMT 2025","Thu May 15 01:00:08 GMT 2025","2553","","ui.DialogBoxesTests","","ui.DialogBoxesTests","testAlert","testAlert()",""
"passed","Thu May 15 01:00:26 GMT 2025","Thu May 15 01:00:27 GMT 2025","705","","ui.WebFormTests","","ui.WebFormTests","testOpenWebForm","testOpenWebForm()",""
"passed","Thu May 15 01:00:25 GMT 2025","Thu May 15 01:00:25 GMT 2025","667","","ui.NavigationTests","","ui.NavigationTests","testNavigate","testNavigate()",""
"passed","Thu May 15 01:00:05 GMT 2025","Thu May 15 01:00:06 GMT 2025","110","","api.ApiTests","","api.ApiTests","simpleApiTest","simpleApiTest()",""
"passed","Thu May 15 01:00:10 GMT 2025","Thu May 15 01:00:14 GMT 2025","4156","","ui.HomePageTest","","ui.HomePageTest","testClickAllLinks","Click through all links on the homepage",""
"passed","Thu May 15 01:00:24 GMT 2025","Thu May 15 01:00:25 GMT 2025","878","","ui.NavigationTests","","ui.NavigationTests","testOpenNavigationPage","testOpenNavigationPage()",""
"passed","Thu May 15 01:00:15 GMT 2025","Thu May 15 01:00:24 GMT 2025","8716","","ui.LoadingImagesTest","","ui.LoadingImagesTest","verifyLoadingAllImages","verifyLoadingAllImages()",""
"passed","Thu May 15 01:00:08 GMT 2025","Thu May 15 01:00:10 GMT 2025","1491","","ui.DialogBoxesTests","","ui.DialogBoxesTests","testDialogBoxes","testDialogBoxes()",""
"passed","Thu May 15 01:00:14 GMT 2025","Thu May 15 01:00:15 GMT 2025","576","","ui.HomePageTest","","ui.HomePageTest","testOpenAllLinks","Open all links",""
"passed","Thu May 15 01:00:25 GMT 2025","Thu May 15 01:00:26 GMT 2025","843","","ui.NavigationTests","","ui.NavigationTests","testNextButton","testNextButton()",""
"passed","Thu May 15 01:00:10 GMT 2025","Thu May 15 01:00:10 GMT 2025","611","","ui.HomePageTest","","ui.HomePageTest","testOpenHomePage","testOpenHomePage()",""
"passed","Thu May 15 01:00:27 GMT 2025","Thu May 15 01:00:28 GMT 2025","810","","ui.WebFormTests","","ui.WebFormTests","testSubmitForm","testSubmitForm()",""
